Name,Address,City,lng,lat,Phone,Website,Introduction,Open_Time,Rating,Suggested_Duration,lng.1,lat.1
篦箕巷Comb Lane,常州市钟楼区西直街与怀德北路辅路交口东南70米近怀德中路,Changzhou,119.942861,31.782275,,,篦箕巷位于常州古运河畔，是古毗陵驿所在地，曾经十分繁华。古时，“篦梁灯火”是常州胜境。而今，这条不足百米的小巷繁华不再，名气胜过景色，巷中店铺倒依然卖着梳子。篦箕巷前的古运河上船只往来，西北端有怀德桥横跨河上，桥头旁是皇华亭，亭中立着现代书法家写的毗陵驿碑。皇华亭对面的牌坊写有“大码头”三字，乾隆南巡时，曾从大码头登岸进城。沿着篦箕巷往东南行，经过篦梁灯火牌坊，走到底能看到始建于明代、重修于清代的文亨桥。此外，篦箕巷还是常州古运河水上游的中途上下船点，坐船游古运河需另外付费。,全年 全天开放,4.3,建议游览时间：1小时,119.942861,31.782275
瞿秋白纪念馆Quqiubai Tongzhi Memorial Hall (South Gate 1),常州市钟楼区延陵西路188号,Changzhou,119.947462,31.782911,"0519-86636909, 0519-86683373",,瞿秋白纪念馆分为纪念馆和故居两个部分。在纪念馆里，可了解到中共早期领导人之一瞿秋白的生平事迹。故居原是建于清光绪年间的瞿氏宗祠，瞿秋白家因贫困所迫，曾在此居住，里面按照瞿秋白生前的室内家居布置。瞿秋白纪念馆：为两层楼四合院式的仿古建筑，馆门两侧的墙壁上对称地各装镶一方铜雕，右边铜雕的主画面是瞿秋白与列宁，侧重表现的是革命家、理论家和宣传家的瞿秋白。左边铜雕的主画面是瞿秋白与鲁迅，侧重表现的是文学家、翻译家和文化旗手的瞿秋白。 展览大厅有瞿秋白生平事迹的照片、文字、实物和雕像，陈列《瞿秋白生平事迹展览》，并推出《纪念瞿秋白书画展》等专题陈列。瞿秋白故居原为瞿氏的私家祠堂，是瞿氏家族供奉和祭祀祖宗的宅院，故居分东西两院，地势逐进抬高，寓含步步高升之意。祠堂第二进，在屏风前面树立着古铜色的瞿秋白石膏像，身姿矫健，神采秀奕，表现的是青年儒雅、书生味正浓的革命家形象。东院为厢房，瞿秋白一家于1912年到1916年就住在东院，里面安放的100多件家具和用品，都是依照当时的格式，征购或仿制，并照原样陈列的。,全年 周二-周日 9:00-16:00;全年 周一 全天不开放,4.5,建议游览时间：1小时 - 2小时,119.947462,31.782911
南山漂流Nan Mountain Drifting,常州溧阳戴埠黄岗岭,Changzhou,119.500777,31.237598,0519-87938879,,"溧阳南山漂流风景区位于江苏溧阳戴埠镇，坐落在溧阳的两个5A级风景区天目湖山水园与南山竹海之间,全长约1800多米，漂流时长约为55分钟，是苏南第一漂流，漂流水道蜿蜒曲折，整段漂流由第一涧、知音亭、花海梯田、风雨廊桥、飞瀑石滩、过韶关、别有洞天、奔吴门和激流勇进等数十个小景浑然天成，自然景色与人工点缀相得益彰。在此，漂流勇士们可一路乘风破浪，奔腾而下，驾驭着皮筏艇，时而与激流相遇，有惊无险，扣人心弦；时而轻涛拍岸，水天一色，勇士们又与花鸟同戏，其乐融融。",1/1-6/3 全天不开放 ;6/4-6/30 12:30-17:00;9/1-12/31 全天不开放 ;7/1-8/31 09:00-17:00,3.6,建议游览时间：2小时 - 3小时,119.500777,31.237598
西太湖影视基地Xitaihu Yingshi Base,常州市武进区西太湖大道1号,Changzhou,119.841443,31.703425,0519-69654669,,西太湖影视基地是以民国建筑和现代内外场景为主的综合基地，已先后有电视剧《猎毒人》、《武动乾坤》、《筑梦奇缘》、许鞍华电影《一炉香》、李少红电影《解放了》、高群书电影《刀尖》等150余部影视作品相继入驻拍摄制作。西太湖影视基地不定期会提供明星见面会、地区非遗文化和文创产品展示等活动内容。,9:30-16:30，15:30停止入场。,3.3,建议游览时间：12小时 - 3天,119.841443,31.703425
溧阳瓦屋山休闲旅游区Wawu Mountain,常州市溧阳市瓦屋山,Changzhou,119.301568,31.636686,,,瓦屋山属溧阳的北山地区，因与九华山有着历史渊源关系，故有“小九华”之称，有宝藏禅寺、神女湖、北山竹海、丫髻山等景点。,全天开放,--,,119.301568,31.636686
金坛茅山风景区Jintanmaoshan Sceneic Area,常州市金坛市薛埠镇,Changzhou,119.335702,31.76676,"0519-82890006, 0519-82890180",http://www.chinamaoshan.cn/,秦汉神仙府，梁唐宰相家的中国道教圣山茅山位于常州市西部，镇江市西南部，常州金坛区与句容市交界处，南北走向，面积50多平方公里。 茅山是指中国江苏省的一座道教名山，是道教上清派的发源地，被道家称为“上清宗坛”。有“第一福地，第八洞天”之美誉！也是中国六大山区抗日根据地之一！定位于“道教养生、休闲度假、生态观光”，金坛市近年先后复建乾元观、崇寿观、元阳观等千年道观。同时整体策划108平方公里茅山旅游，突出茅山道教、山水（温泉）、茶文化和知青文化特色，加大招商力度，先后引进宝盛园、紫云湖、东方盐湖城、金沙湾乡村俱乐部等休闲旅游项目。,全年 全天开放,4.2,建议游览时间：3小时 - 4小时,119.335702,31.76676
焦溪镇Jiaoxi Town,常州市武进区郑陆镇焦溪村,Changzhou,120.159859,31.820617,,,中国历史文化名镇--焦溪镇隶属常州市天宁区东北部（原武进区），现下辖于天宁区郑陆镇。地处常州、无锡、江阴三市交界，是具有700多年历史的文明古镇。总面积41.4平方公里，被誉为“葡萄之乡”、“干燥机之乡”。元末明初，朱元璋塾师焦丙曾在此设塾讲学，故称焦店，后来人们为了以水克火，又改名为焦溪。焦溪目前保存完整的民清建筑有几百所之多，成片街区“一河、四桥、五街、十三弄”也依旧保留完好，一些民俗文化的东西诸如“焦溪羊肉”、“糟扣肉”和“脚踏糕”的制作传人还在，...中国历史文化名镇--焦溪镇隶属常州市天宁区东北部（原武进区），现下辖于天宁区郑陆镇。地处常州、无锡、江阴三市交界，是具有700多年历史的文明古镇。总面积41.4平方公里，被誉为“葡萄之乡”、“干燥机之乡”。元末明初，朱元璋塾师焦丙曾在此设塾讲学，故称焦店，后来人们为了以水克火，又改名为焦溪。焦溪目前保存完整的民清建筑有几百所之多，成片街区“一河、四桥、五街、十三弄”也依旧保留完好，一些民俗文化的东西诸如“焦溪羊肉”、“糟扣肉”和“脚踏糕”的制作传人还在，制作工艺和配料也没失传，依旧散发着浓厚的历史文化的气息。,全年 全天开放,4.2,建议游览时间：2小时 - 3小时,120.159859,31.820617
静湖Jinghu Lake,溧阳市天目湖南山竹海,Changzhou,119.527678,31.17353,400-188-8588,,“爽借清风明借月，动观流水静观山。从中一股清泉出，不识源头何处来。”一排排竹筏飘荡在绿色绸缎般的静湖湖面上，轻轻挥舞橹浆，波纹荡漾，缓缓四散开来，宁静端庄的静湖露出她妩媚的一面。远眺湖岸边的碧绿竹海，散发着清凉静雅的气息，正是“舟行碧波上，人在画中游”。南山竹海静湖竹筏是南山竹海景区的水上游览项目，乘坐竹制的木筏，悠悠的在水上度过一个下午，欣赏水竹相接的唯美景观，或与朋友打水枪，享受清凉的低碳之旅。坐在竹筏之上，闭眼冥想，或是凝神观望，自有一番韵...“爽借清风明借月，动观流水静观山。从中一股清泉出，不识源头何处来。”一排排竹筏飘荡在绿色绸缎般的静湖湖面上，轻轻挥舞橹浆，波纹荡漾，缓缓四散开来，宁静端庄的静湖露出她妩媚的一面。远眺湖岸边的碧绿竹海，散发着清凉静雅的气息，正是“舟行碧波上，人在画中游”。南山竹海静湖竹筏是南山竹海景区的水上游览项目，乘坐竹制的木筏，悠悠的在水上度过一个下午，欣赏水竹相接的唯美景观，或与朋友打水枪，享受清凉的低碳之旅。坐在竹筏之上，闭眼冥想，或是凝神观望，自有一番韵味其中。你置身于此，鼻翼的每一次翕动都满载着珍贵的负氧离子，在这座天然氧吧的湖面上，一呼一吸，一吐一纳之间，尽情感受着自然原始的节拍与韵律。,具体开放时间请咨询景区,4.6,建议游览时间：1小时,119.527678,31.17353
状元阁Champion Pavilion,常州市溧阳市天目湖镇环湖东路1号天目湖山水园内,Changzhou,120.142069,31.530997,400-188-8588,,状元阁是天目湖山水园内的景点，位于伸入湖中的湖里山半岛上，高3层，外观古色古香，登上楼阁，可以眺望天目湖秀美的湖景。状元阁以古代科举文化为主题，从隋代至清代的736位状元的姓名、籍贯、殿试夺魁的年号，全镌刻于紫檀的版面之上。阁内的青铜龙柱又称状元柱，或龙门柱，高2.28米、重680公斤。它的雏形是唐代长安城内的试官石，铜柱上的龙图腾威武雄伟，给人一种高高在上的威慑感。,具体开放时间请咨询景区,4.7,建议游览时间：1小时,120.142069,31.530997
紫荆公园Zijing Park (Northwest Gate),常州市三丰路与竹林北路交汇处附近创意产业园内,Changzhou,120.001472,31.793215,,,紫荆公园位于常州东北部的创意产业园内，位于竹林北路与东经120大道路口，占地面积20.15公顷（约302亩）是常州较大的月季主题公园。紫荆公园突出两大特色。一大特色，紫荆公园将以东经120度经线这一地理特色为建设主题。东经120度经线是“北京时间”的基准经线，而常州是该经线穿越城区的地级市，根据这一特色，将东经120经线作为公园的主要景观轴线。同时，这条轴线也是常州东部的主要景观轴线，它将紫荆公园、东经120景观大道、中华恐龙园串联在一起，共同构筑了一条集旅游、生态、科普于一体的旅游线路。二大特色，紫荆公园被确定为中国第四届月季花展暨2010世界月季联合会区域性大会的主会场，被打造成一个个性化的月季专类园。,全年 全天开放,4.7,建议游览时间：1小时 - 2小时,120.001472,31.793215
华夏宝盛园,常州市金坛市x206茅山风景区内,Changzhou,119.314701,31.810797,0519-80188888,http://www.baoshengpark.com/index.aspx,华夏宝盛园将园林艺术文化与现代旅游休闲文化有机结合，形成一个以文化体验、休闲、度假、养生、运动等集于一体的山水园林景区。园内拥有五大博物馆，馆藏珍品国内罕见。此外，依托茅山优越的环境优势，在山林中修建丛林探险、攀岩、射箭、烧烤等互动项目。园区内还配备度假别墅、房车露营基地、知青客栈等服务设施，将艺术的形式美与游客的休闲情趣很好地交相融合。,8:00-17:00,--,,119.314701,31.810797
鸡鸣村Jiming Village,常州市溧阳市天目湖南山竹海,Changzhou,118.790053,32.063143,"0519-87935088, 400-188-8588",,鸡鸣村地处苏浙皖三省交界之处，鸡鸣三省，故得名鸡鸣村。这里有着清代的祠堂、明代的古民居，置身其中，你可以感受到三省居民朴实的生活场景。鸡鸣村由于其特殊的地理位置，整体建筑集中了三省的建筑风格，除了有着白墙黛瓦、马头墙的徽派风格，同时又不失江南小桥流水人家的韵味，而浙江园林宅第建筑中的“缩天之美”在此也一样有所体现。另外一方面，在鸡鸣村，游客朋友还能看到苏浙皖三省不同的风物特产，如江苏这边的板栗、竹笋、绿茶；浙江大溪山核桃、安吉竹荪、长兴白果；安徽的山货和竹制品。,具体开放时间请咨询景区,4.4,建议游览时间：1小时 - 2小时,118.790053,32.063143
武进太湖湾景区,常州市武进区雪堰镇,Changzhou,120.063672,31.494793,,http://www.uutaihu.com/index.asp,,9:0017:00,5.0,建议游览时间：2小时 - 4小时,120.063672,31.494793
东坡公园Dongpo Park,常州市天宁区延陵中路9号,Changzhou,119.972672,31.768903,0519-88815005,,东坡公园位于常州古运河畔，具有江南园林风格，环境古朴典雅。镇园之宝舣舟亭相传始建于南宋，苏东坡先后11次来常州，数次在此泊舟登岸。公园于1954年由舣舟亭扩建而成，现在看到的亭子是1984重建的。舣舟亭四角双檐飞甍九脊，位于公园的高处，饰有精美砖雕和木雕，亭顶有二龙戏珠，还有苍松仙鹤，神龙游鱼等图案，具有很高的艺术价值。此外，东坡公园还是三河三园水上游船的上下船点，游船沿古运河行驶，坐船需另外付费。,全年 6:00-18:00,4.6,建议游览时间：1小时 - 2小时,119.972672,31.768903
梳篦博物馆Shubi Museum,江苏省常州钟楼区怀德路商圈勤业路常州梳篦厂内,Changzhou,119.932604,31.783228,0519-86853727,,梳篦是古代八大发饰之一，常州梳篦以前是宫廷御用珍品，有宫梳名篦之名。博物馆展示了梳篦的发展历史、制作工艺和创作精品，是我们对梳篦有更深刻的认识和了解。,9:00—18:00,4.6,建议游览时间：2小时 - 3小时,119.932604,31.783228
白龙观Bailong Temple,常州市武进区横山桥镇白龙庙路,Changzhou,120.104774,31.771317,0519-88606212,,白龙观位于长江以南、太湖之北，江苏常州横山桥镇，沪宁高速公路横山桥道口下。其观宇坐北朝南，依山而建，山环水抱，亭台楼阁，气势非凡，四季鸟语花香。这里有诸多自然景观，汉代以前，黄猫岭上有昼吐金、夜吐银的黄猫遗迹；魏晋时期的登仙台；晋代曹横因斗蛇而形成的内、外龙潭；宋代的白龙娘娘圣迹龙井等等。观内植物丰富，各种古树如古黄杨、古南天竹、古桂花树等郁郁葱葱。殿前两棵千年古银杏树（又称爱情和合树），树身高耸直入云天，树围粗壮；五棵大樱桃树每到秋季，硕果累累，果味飘香。一棵三百余年的古玉兰树，树干挺拔，每逢早春，银花繁盛，香飘数里，可惜由于年代久远，风华历尽，终于在今年完美谢幕。内龙潭里白龙娘娘雕塑栩栩如生，太极阴阳球神奇转动，潭内水清见底，鱼虾嬉戏，远看山有色，近听水无声，人们漫步观内，回归自然的感觉油然而生。每年的八月初一至初三，传说龙子必回横山白龙观探母，因此方圆几十里，热闹非凡，庙内唱戏三天以示庆祝，也就是现在横山桥的庙会。4尊新建的四路（东、南、西、北）财神（每尊均为12.8米高）庄严、神圣。,8:00-16:00,4.3,,120.104774,31.771317
凤凰公园Phoenix Park,常州市溧阳市煤建路76号附近,Changzhou,120.00648,31.742549,"0519-87325765, 0519-87325020",,凤凰公园是伸入溧阳丹金溧漕河中的狭长形公园，始建于1990年。园内林木葱郁，有小桥池塘，是当地人休闲散步的地方，小朋友可以坐小船飘荡在水面，夏日园中荷花盛开，可以来拍拍照。凤凰公园因附近原有两座青石砌筑的双桥（又名凤凰桥）而得名。全园分饮绿湖、碑林、珍竹园、山水园、花圃、儿童乐园、牡丹园、梅园和意园阁等九个景区，主要建筑和景点有“浣纱女”、“凤凰堂”、“楠木厅”、“铁木厅”和“唐石刻井栏”以及名闻遐迩的“淳化阁帖碑廊”等处。园内较宝贵的是一座保存完好的唐代石刻井栏。这口粗砺、笨重的井栏，高54厘米，外侧分18行，竖刻着91字阴文。不远处便是明代楠木厅和清代铁木厅，楠木厅内的抚廊壁间，展出被誉为“法帖之祖”的淳化阁帖仿制品。此帖石刻，全国仅保存两套半，其中半套保存于溧阳市别桥镇。,全年 6:00-21:00,4.7,建议游览时间：1小时 - 2小时,120.00648,31.742549
顾龙山公园Gulong Mountain,常州市金坛市小南门外1.5公里,Changzhou,119.543908,31.734974,"0519-82891537, 0519-82891087",,顾龙山（又名乌龙山），在金坛城南的金溧漕河之滨，距城二公里左右，其山形似拳头，海拔近百米，长1公里左右。山上茂林修竹，郁郁苍苍。很久之前山上有寺、观、庙、庵等多处，其山之东有宝塔寺及龙山塔，山之南有吕祖庙，山之西有圆通庵，山之高坡更有季子殿（祭季札的专祠）。是全县有名的风景名胜之一“乌龙叠翠”。由于龙山钟秀，人杰地灵，南宋度宗咸淳七年（公元1271年），县内茅山书院亦徒建于顾龙山新兴寺之右，一时成为全县的较高学府所在地。,全年 全天开放,4.5,建议游览时间：2小时 - 3小时,119.543908,31.734974
盛宣怀故居Shengxuanhuai Former Residence,常州市大马元巷18号,Changzhou,119.950982,31.776471,,,,全年 9:00-17:00,4.4,,119.950982,31.776471
华罗庚公园,江苏省常州市金坛市县府路38号,Changzhou,119.575991,31.743112,0519-82828624,,华罗庚公园建于一九一一年（清宣统三年），由私家花园命名“雅约园”。民国十七年，为纪念孙中山先生逝世三周年更名为“中山公园”，文革期间改为“人民公园”一九九二年为纪念数学泰斗华罗庚先生，家乡人民隆重命名为华罗庚公园。公园内古木参天，绿荫如盖，水面贯通开合，柳影动静相映，旧景新观，是人们休息聚会的好去处。。。。古城墙、护城河诉说着四百多年的风雨故事，凭添一份不出城廓而拾山林之趣；亭台曲折之间，凭栏临池，或晨雾初霁，或落日熔金，神气灵秀，充满水乡情调...华罗庚公园建于一九一一年（清宣统三年），由私家花园命名“雅约园”。民国十七年，为纪念孙中山先生逝世三周年更名为“中山公园”，文革期间改为“人民公园”一九九二年为纪念数学泰斗华罗庚先生，家乡人民隆重命名为华罗庚公园。公园内古木参天，绿荫如盖，水面贯通开合，柳影动静相映，旧景新观，是人们休息聚会的好去处。。。。古城墙、护城河诉说着四百多年的风雨故事，凭添一份不出城廓而拾山林之趣；亭台曲折之间，凭栏临池，或晨雾初霁，或落日熔金，神气灵秀，充满水乡情调。作为公园的精髓，华罗庚纪念馆是家乡人民缅怀华老于1986年1月华老一周年忌辰时建造。名师倾心设计，手法师古出新，四面环水，青瓦粉墙，面线对比，用工作法考究。纪念馆馆藏丰实、及广大见精微，建馆以来接待中外人次众多。已被辟为“青少年革命传统教育基地”、“江苏省爱国主义教育基地”、“大学生德育基地”。建于世纪之交的世纪钟广场，设置在公园的北侧，整个场地以绿色草坪为基调，附以点缀性园林构建物，衬托世纪钟亭，环形碑廊及缓延的植被，为之增添丰富的背景空间，造型手法现代，气势宏伟，圆形水面上的音乐喷泉及灯柱象征新世纪的召唤，激励人们奋斗不息，永往直前。,全天,4.0,,119.575991,31.743112
刘海粟美术馆Liuhaisu Galley,双桂坊52号,Changzhou,119.952238,31.77815,86603885,,,全年 9:00-17:00,4.6,建议游览时间：1小时 - 2小时,119.952238,31.77815
史良故居shi liang gu ju,常州市和平南路143号,Changzhou,119.958194,31.775093,,,,全年 8:00-18:00,4.5,,119.958194,31.775093
段玉裁纪念馆Duanyucai Memorial Hall,常州市金坛市城南风景区下坵路愚池公园内,Changzhou,119.564519,31.737599,82837667,,段玉裁纪念馆门楼上悬挂有名书法家舒同书写的“段玉裁纪念馆”匾额。大门内宽阔的庭院，地面是绿茵茵的草坪。穿过庭院就是纪念大厅，其厅飞檐画栋，古色古香。正厅门上挂着书法家沙孟海书写的“朴学宗师”的金字大匾。大厅正中是段老夫子的半身石膏塑像，气势庄严。两边墙上挂着名人字画。两侧是厢房和长廊，厢房里陈列着段玉裁的有关著作、生平和年表，长廊陈列的连环画“段玉裁”。出正厅的后门是一座独孔桥，横跨小溪流水，过桥就可以通向市博物馆了，葱绿的园林绿化耀人眼目。,"全年 周二-周日 9:00-11:00,13:30-16:30",4.5,建议游览时间：0.5小时 - 1小时,119.564519,31.737599
张太雷故居Zhang Tailei Memorial Hall,常州市天宁区清凉路子和里3号,Changzhou,119.957202,31.766498,0519-88873919,,故居为一座两进三开间木结构民居建筑，于1987年12月12日广州起义英勇牺牲60周年之际正式对外开放。故居分故居陈列和生平事迹展览两部分。,全年 08:30-16:30,4.6,建议游览时间：1小时,119.957202,31.766498
赵翼故居Former Residence of Zhao Yi,常州市天宁区延陵西路前北岸2号,Changzhou,119.957251,31.778744,0519-8163333,,,全年 8:00-18:00,4.6,建议游览时间：1小时 - 2小时,119.957251,31.778744
吕思勉故居Lvsimian Former Residence,常州市十子街810号,Changzhou,119.954479,31.785067,0519-86683053,,吕思勉（1884-1957年），字诚之，常州人，现代史学家。故居为硬山造清代建筑，坐北朝南，共四进21间，头进为门屋，临十子街，二进为大厅三间，后有翻轩。三进为客堂，堂前天井，莳以花木，东西有卧室各一间。清光绪十年二月初一吕思勉出生于西首卧室，幼年即生活、读书于此。四进为楼房上下各三间，天井东首另有厢房一间通东卧室，存吕思勉所藏图书、字画及生活用品20余箱。吕思勉故居坐北朝南，共四进，每进中间设有天井、花坛。青砖粉墙、飞檐瓦当、木格花窗，给人以古朴典雅、书香溢斋的氛围。,全年 周二-周日 9:00-16:30,4.6,建议游览时间：1小时,119.954479,31.785067
荆川公园Jingchuan Park,常州市钟楼区清潭路888号,Changzhou,119.920085,31.769062,"0519-86975519, 0519-86969149",,荆川公园建于1990年，为纪念明嘉靖年间的抗倭英雄和文学家唐荆川而建，除了与唐荆川相关的景点，就是一个拥有湖水、绿化、亭台楼阁的公园，当地人常来此锻炼身体、跳广场舞。此外，园中还有个儿童游乐区。荆川公园在东、北、西三个方向上都有入口，从哪个方向进并没有特别的讲究。园中和唐荆川相关的景点有：唐荆川手拿书本坐着的文像、唐荆川身批战甲手拿长枪站立的武像、唐荆川墓、唐荆川祠、唐荆川读书处——陈渡草堂。唐荆川墓建于明嘉靖三十九年（公元1560年），后遭到破坏，现在看到的是1990年修复的。唐荆川祠从青果巷224号搬迁而来，是唐氏大宗祠，壁间嵌有元代大书法家倪瓒等书条石刻，为明末清初建筑。读书处陈渡草堂是古色古香的江南园林建筑群，包括五言楼、春池馆、压溪榭、赖云阁和回廊、假山、清溪、小桥等楼堂庭院。唐荆川早年告病辞官，归里后便在读书处潜心读书。公园里的游乐设施有需要付费的湖上游船，儿童游乐区的旋转木马、弹跳床等，价钱不贵。春天，公园里鲜花盛开，夏天，湖水中有荷花开放，可以来拍拍照。,全年 全天开放,4.5,建议游览时间：1小时 - 2小时,119.920085,31.769062
高静园Gaojing Park,常州市溧阳市交通路37号051987281252,Changzhou,119.488747,31.428426,,,高静园位于溧阳市区的城中河畔，四面环水，有桥与陆地相连。这是一个小公园，因为布局有苏州园林的特点，所以环境优雅，池塘假山、亭阁长廊错落有致，在园内散散步非常惬意。高静园始建于1930年，原名溧阳公园，1987年重建，改为现名。公园内有锦窦园、牡丹亭、晚香亭、清濑草堂等众多景点。园内的“高静”石，是太湖石中的精品，相传为宋徽宗赠送给溧阳人赵癸的。园内具有历史意义的是建立于高墩上的太白楼。李白一生曾三到溧阳，天宝十五年（公元756年），李白与草圣张旭宴别于溧阳酒楼，作《猛虎行》。楼内有李白全身塑像，再现了这位大诗人临风把盏、慷慨悲歌的神采。,全年 5:30-18:00,4.7,建议游览时间：1小时 - 2小时,119.488747,31.428426
新四军江南指挥部纪念馆The Memorial Hall of Jiangnan Command Post of the New fourth Army,常州市溧阳市竹箦镇水西村新四军江南指挥部纪念馆,Changzhou,119.33791,31.509937,0519-87818918,http://www.sxn4a.com,1938年夏，粟裕、张鼎丞分别率领新四军先遣支队和第一、第二支队，相继从皖南挺进苏南敌后，开展抗日游击战争。1939年11月7日，新四军江南指挥部在水西公开宣布成立，指挥副指挥粟裕，统一领导第一、第二支队和苏南地方抗日武装，至次年7月，粟裕率江南指挥部及其主力渡江北上。在这期间，粟裕坚决执行党中央的正确指示，并从苏南抗日斗争的实际出发，创造性地运用党的三大法宝，创建、巩固和发展了以水西村为指挥中心的苏南抗日根据地，奠定了华中抗日根据地的基础，在我党党史、我军军史上谱写了辉煌的篇章。新四军第二团团长、开国中将王必成说：“没有水西村，就没有茅山根据地，就没有东进，就没有苏北根据地，也就没有黄桥战役的胜利！”新四军江南指挥部纪念馆是依托新四军江南指挥部这一重大历史史实，以遗址为特色而建立的革命纪念馆，1979年江南指挥部旧址开始修复，1984年正式对外开放，其职责是保护、管理新四军江南指挥部旧址，征集、研究和宣传与该事件相关的革命文物和史料，对广大观众进行革命传统教育和爱国主义教育。历经建设，纪念馆占地面积50000平方米，其中展厅面积10000平方米。分为核心区、水西村中旧址群和宋巷新四军第一支队司令部旧址群。核心区占地面积40000平方米，有六处参观点，分别是新四军江南指挥部司令部旧址、新四军江南指挥部史料展览馆、新四军廉洁思想教育馆；水西村中有四处参观点，分别是司令部副官处旧址、通讯班旧址，政治部战地服务团旧址、印刷所旧址；距核心区2公里有宋巷新四军第一支队司令部旧址群及铁军广场。纪念馆常设专题展6个，复原陈展5个，紧紧围绕《弯弓射日到江南》新四军江南指挥部史实展，全面反映了新四军江南指挥部在抗日战争中前线指挥部的丰功伟绩。纪念馆现为全国爱国主义教育示范基地，全国红色旅游经典景区，国家国防教育示范基地，全国重点文物保护单位、抗战纪念设施、遗址，国家AAAA级旅游景区，国家三级博物馆，全国研学旅行基地（营地），江苏省廉政教育示范基地，江苏省社会科学普及示范基地，江苏省学校德育基地，江苏省青年文明号，宋巷新四军第一支队司令部旧址为江苏省重点文物保护单位。  ,8:30-16:30，16:20停止入场；周一闭馆，节假日照常开放。,4.7,建议游览时间：1小时 - 2小时,119.33791,31.509937
云龙湖旅游景区Yunlong Lake,徐州市云龙湖湖中路1号,Xuzhou,117.150244,34.238105,"0516-83960925, 0516-83960208, 0516-83960298",http://www.ylhfjq.com/,"云龙湖地处市区中心，湖东有云龙山，湖南有珠山，湖西有小长山和卧牛山。景区内湖波浩渺，山色叠翠，古往今来，吸引了众多游子。北宋文学家苏轼任徐州知府时即情钟此湖。如今的云龙湖，东湖游览区以水上活动和参观游览主为，西湖游览区以疗养度假为主，湖南则主要以娱乐及宾馆为主。另有儿童水上乐园、沙滩浴场、万人游泳场等。小南湖景区：小南湖景区内有一池二岛、三轩五园，整个景区水面精巧、环湖布景，以“江南园林”特色的会馆艺苑、水乡人家、小桥流水、名苑流香、荷塘鱼藕为主体景观，形成“静湖幽园”的中国古典人文及自然景观特色。水上世界：坐落在云龙湖湖心岛上，由水族馆、海洋剧场、海洋珍奇标本馆、4D动感电影组成。水族馆七个主题展区展示了来自世界各地的200多种10000余条珍贵鱼种，置身其中仿佛潜入一个扑朔迷离的水中世界。滨湖公园：坐落在云龙湖北岸，东接云龙山，西连韩山，南依云龙湖，北靠滨湖绿地，是一座带状生态园林公园，内有万人游泳场。滨湖新天地：位于云龙湖北大堤，由市民广场、步行街和艺术馆组成，是集休闲、娱乐、餐饮、购物等功能于一体的现代都市滨湖生态休闲文化场所。南湖水街：原名南湖别院，位于小南湖景区内的半岛上，北临风光秀丽的云龙湖，东望蜿蜒起伏的云龙山，古朴典雅的白墙黛瓦与碧水环绕的自然景观相依相映，景色雅致。主要建设内容分为两部分，一部分是商务会所，另一部分是企业会所,是融文化性、娱乐性、观赏性于一体的高档度假、餐饮、休闲娱乐消费街区。",全天开放；游船9:00-17:30,4.7,建议游览时间：5小时 - 6小时,117.150244,34.238105
龟山汉墓Guishan Han Dynasty Tombs,徐州市鼓楼区襄王北路3号,Xuzhou,117.131668,34.30845,0516-85770107,,龟山汉墓是龟山景区的主要景点之一，为西汉第六代楚襄王刘注的夫妻合葬墓，由人工开凿的两条墓道和十五间墓室组成，此墓工程浩大，气势雄伟，实为罕见。尤其是至今尚未揭开的四大谜团，吸引着海内外无数游人。龟山汉墓依山为陵，完全是掏空山体而建。南为楚王刘注墓，北为其夫人墓，有南北两条甬道，是迄今世界上打凿精度最高的甬道。墓室十五间，由人工开凿而成，室室相通，主次分明；两甬道均由26块塞石分上下两层堵塞，每层13块，每块塞石重达6-7吨。最奇异的是，两甬道无限延伸后交汇于当时的首都长安。,8:30-17:00,4.6,建议游览时间：1小时 - 2小时,117.131668,34.30845
窑湾古镇Yaowan Ancient Town,徐州市新沂市窑湾镇,Xuzhou,118.065944,34.17833,0516-88557679,http://www.ywgz.com/,窑湾古镇国家4A级旅游景区，位于新沂市西南边缘，京杭大运河及骆马湖交汇处，与宿迁、睢宁、邳州三市县相连，是一座具有千年历史、闻名全国的水乡古镇。素有“东望于海，西顾彭城，南瞰淮泗，北瞻泰岱”之描述和“黄金水道金三角”、“苏北水域胜江南”之美誉及“小上海”之称。窑湾集古镇景观、水泊景观、名胜古迹、神话仙境于一体，具有很高的观赏、游览和历史研究价值。千年古镇窑湾历史文化悠久而灿烂。据典籍记载，这里，东周时属钟吾国辖地。秦汉时，作为军需品烧窑处。唐时，位于邳州、海州交界处，因周边窑多，故称窑湾。千年运河百道湾，黄金分割在窑湾；千年古槐，见证了古镇窑湾的兴衰；后院酱缸，雕琢着岁月久远的痕迹；老式建筑，散发出浓厚的文化气息。她像苏南的周庄有湖有水，水网相连；她又像山西的平遥，有着古老的街巷，文化相袭数千年。窑湾古镇人文历史景观厚重。古镇始建于唐朝初期，随着明清漕运和盐业的兴盛，昔日店铺栉比，商贾云集，街上行人如织，水上舟楫连绵。古镇中，城门、楼、店、院、宫、寺、庙、殿，自宋至清，代有营建。古老的街巷、宅院、会馆、作坊、商行、货栈、典当、码头等古镇昔日风貌仍基本犹存。       ,全年 09:00-17:00,4.4,建议游览时间：4小时 - 5小时,118.065944,34.17833
